model_name,mitigation_status,dataset,training_time,inference_time,peak_memory_mb,accuracy,precision,recall,f1_score,roc_auc,demographic_parity_difference,equalized_odds_difference,equal_opportunity_difference,disparate_impact_ratio,performance_score,fairness_score,training_time_score,inference_time_score,efficiency_score,total_score,rank
decision_tree_Tuned,unmitigated,extended,0.5,0.00620722770690918,15.0,0.6753036437246963,0.6885245901639344,0.5231316725978647,0.5945399393326593,0.7159185249031003,0.45553822152886114,0.629080118694362,0.629080118694362,0.0,0.6591975086427659,0.45769082988838844,1.0,0.910871734244733,0.9554358671223665,0.637842508836935,1
logistic_regression_Tuned,unmitigated,extended,0.5,0.0029680728912353516,15.0,0.6923076923076923,0.6961206896551724,0.5747330960854092,0.6296296296296297,0.7339831212026673,0.5179407176287052,0.712166172106825,0.712166172106825,0.0,0.6818393592832686,0.3849465551322349,1.0,0.9782448282496881,0.989122414124844,0.6245388485911703,2
random_forest_Tuned,unmitigated,extended,0.5,0.012025594711303711,15.0,0.6995951417004048,0.7036247334754797,0.5871886120996441,0.6401551891367604,0.7360427363533972,0.5460218408736349,0.744807121661721,0.744807121661721,0.0,0.6890526748619099,0.354585518732322,1.0,0.7898520826845297,0.8949260413422648,0.5964404857061458,3
catboost_Tuned,unmitigated,extended,0.5,0.0019221305847167969,15.0,0.7004048582995951,0.700836820083682,0.5960854092526691,0.6442307692307693,0.7420946735549645,0.5413416536661466,1.0,1.0,0.0,0.6918905946300212,0.2293291731669267,1.0,1.0,1.0,0.5684879071187792,4
RandomForest_Baseline,unmitigated,baseline,1.3344168663024902,0.0348663330078125,1.2021293640136719,0.6354816354816355,0.6043771043771043,0.5523076923076923,0.5771704180064309,0.6693811232903288,0.2017505055611729,0.6111111111111112,0.6111111111111112,0.599761800288347,0.6247681678008128,0.5935691916638579,0.0,0.31477407747558683,0.15738703873779342,0.518812351533427,5
lightgbm_Tuned,unmitigated,extended,0.5,0.0030477046966552734,15.0,0.7101214574898785,0.7056451612903226,0.6227758007117438,0.6616257088846881,0.7386853362804249,0.8571428571428572,1.0,1.0,0.14285714285714285,0.7012855086664307,0.0714285714285714,1.0,0.9765885192994705,0.9882942596497353,0.5067444839679479,6
xgboost_Tuned,unmitigated,extended,0.5,0.004620790481567383,15.0,0.7060728744939271,0.7026476578411406,0.6138790035587188,0.6552706552706553,0.7390885343683407,1.0,1.0,0.744807121661721,0.0,0.6974353407018282,0.0,1.0,0.9438689790194255,0.9719344895097127,0.47336103418267383,7
RandomForest_Extended,unmitigated,extended,1.1144177913665771,0.03213906288146973,1.0280418395996094,0.6388663967611335,0.6137254901960785,0.5569395017793595,0.5839552238805971,0.685714361254911,0.5304212168486739,0.685459940652819,0.685459940652819,0.0,0.631762637795728,0.3920594212492535,0.2636560738648345,0.3715001795161198,0.31757812669047714,0.4730444489560881,8
logistic_regression_Mitigated,mitigated,extended,1.0,0.05,12.0,0.6793522267206478,0.6590038314176245,0.6120996441281139,0.6346863468634686,0.0,0.4414976599063963,1.0,1.0,0.0,0.5300820174193644,0.2792511700468019,0.4007791306812565,0.0,0.20038956534062824,0.36381118805459217,9
random_forest_Mitigated,mitigated,extended,1.0,0.05,12.0,0.6720647773279352,0.6764044943820224,0.5355871886120996,0.5978152929493545,0.0,0.425531914893617,1.0,1.0,0.0,0.515376976548774,0.2872340425531915,0.4007791306812565,0.0,0.20038956534062824,0.36112232070891187,10
xgboost_Mitigated,mitigated,extended,1.0,0.05,12.0,0.6728744939271255,0.6639004149377593,0.5693950177935944,0.6130268199233716,0.0,0.46808510638297873,1.0,1.0,0.0,0.5203452929405742,0.26595744680851063,0.4007791306812565,0.0,0.20038956534062824,0.3545990089677596,11
