model_name,mitigation_status,dataset,training_time,inference_time,peak_memory_mb,accuracy,precision,recall,f1_score,roc_auc,demographic_parity_difference,equalized_odds_difference,equal_opportunity_difference,disparate_impact_ratio,performance_score,fairness_score,training_time_score,inference_time_score,efficiency_score,total_score,rank
decision_tree_Tuned,unmitigated,extended,0.5,0.0032241344451904297,15.0,0.6753036437246963,0.6885245901639344,0.5231316725978647,0.5945399393326593,0.7159185249031003,0.45553822152886114,0.629080118694362,0.629080118694362,0.0,0.6591975086427659,0.45769082988838844,1.0,0.9702086041908242,0.9851043020954121,0.6437761958315442,1
logistic_regression_Tuned,unmitigated,extended,0.5,0.0020112991333007812,15.0,0.6923076923076923,0.6961206896551724,0.5747330960854092,0.6296296296296297,0.7339831212026673,0.5179407176287052,0.712166172106825,0.712166172106825,0.0,0.6818393592832686,0.3849465551322349,1.0,1.0,1.0,0.6267143657662014,2
catboost_Tuned,unmitigated,extended,0.5,0.0024933815002441406,15.0,0.7060728744939271,0.7034764826175869,0.6120996441281139,0.6546146527117032,0.7431377007397693,0.5413416536661466,0.744807121661721,0.744807121661721,0.0,0.6980483732084284,0.3569256123360662,1.0,0.9881584033170526,0.9940792016585263,0.6208054345495031,3
random_forest_Tuned,unmitigated,extended,0.5,0.012403488159179688,15.0,0.6995951417004048,0.7036247334754797,0.5871886120996441,0.6401551891367604,0.7360427363533972,0.5460218408736349,0.744807121661721,0.744807121661721,0.0,0.6890526748619099,0.354585518732322,1.0,0.7447321878257611,0.8723660939128806,0.591928496220269,4
lightgbm_Tuned,unmitigated,extended,0.5,0.0024864673614501953,15.0,0.7101214574898785,0.7056451612903226,0.6227758007117438,0.6616257088846881,0.7386853362804249,0.8571428571428572,1.0,1.0,0.14285714285714285,0.7012855086664307,0.0714285714285714,1.0,0.9883282382843155,0.9941641191421577,0.5079184558664325,5
RandomForest_Baseline,unmitigated,baseline,1.319350004196167,0.042722225189208984,1.2021293640136719,0.6354816354816355,0.6043771043771043,0.5523076923076923,0.5771704180064309,0.6693811232903288,0.2017505055611729,0.6111111111111112,0.6111111111111112,0.599761800288347,0.6247681678008128,0.5935691916638579,0.0,0.0,0.0,0.4873349437858683,6
xgboost_Tuned,unmitigated,extended,0.5,0.00558924674987793,15.0,0.7060728744939271,0.7026476578411406,0.6138790035587188,0.6552706552706553,0.7390885343683407,1.0,1.0,0.744807121661721,0.0,0.6974353407018282,0.0,1.0,0.9121133326305679,0.956056666315284,0.47018546954378815,7
RandomForest_Extended,unmitigated,extended,1.136687994003296,0.030375957489013672,1.0280418395996094,0.6388663967611335,0.6137254901960785,0.5569395017793595,0.5839552238805971,0.685714361254911,0.5304212168486739,0.685459940652819,0.685459940652819,0.0,0.631762637795728,0.3920594212492535,0.2229352648531122,0.30326668774962817,0.2631009763013702,0.4621490188782667,8
