model_name,mitigation_status,dataset,training_time,inference_time,peak_memory_mb,accuracy,precision,recall,f1_score,roc_auc,demographic_parity_difference,equalized_odds_difference,equal_opportunity_difference,disparate_impact_ratio,performance_score,fairness_score,training_time_score,inference_time_score,efficiency_score,total_score,rank
xgboost_Tuned,unmitigated,extended,0.5,0.014772891998291016,15.0,0.8779813696386529,0.7944501541623844,0.6612489307100086,0.7217553688141923,0.9316766720322547,0.1500506072874494,0.21511004333090228,0.21511004333090228,0.33890746934225197,0.8418526298700351,0.8174196746908241,1.0,0.9792991324864039,0.9896495662432019,0.8616388350729841,1
catboost_Tuned,unmitigated,extended,0.5,0.01207590103149414,15.0,0.8774695465247211,0.7951370926021728,0.6573994867408041,0.71973776633107,0.9309263703402355,0.1632085020242915,0.2121212121212121,0.2121212121212121,0.32033719704952585,0.8408413772297286,0.8123351429272482,1.0,0.9913429638557295,0.9956714819278647,0.8604049044483637,2
lightgbm_Tuned,unmitigated,extended,0.5,0.01519775390625,15.0,0.8766506295424301,0.7900665642601127,0.6599657827202737,0.7191796783966441,0.9308989437930184,0.17282388663967613,0.2136942811789438,0.2136942811789438,0.28029504741833505,0.8402590070488121,0.8067409160906901,1.0,0.9774018457554864,0.9887009228777432,0.8565401538313495,3
decision_tree_Tuned,unmitigated,extended,0.5,0.010137319564819336,15.0,0.8615006653700481,0.7954409118176364,0.5671514114627887,0.6621722846441948,0.9042244250181222,0.17940283400809715,0.20385674931129472,0.20385674931129472,0.27282051282051284,0.8102469030819068,0.8083702083403042,1.0,1.0,1.0,0.8474468445688845,4
logistic_regression_Tuned,unmitigated,extended,0.5,0.011632680892944336,15.0,0.8448152318558706,0.7288418708240535,0.5598802395209581,0.633284954039671,0.8867616862704604,0.24866190900981266,0.2807798262343717,0.2807798262343717,0.25888999667663676,0.7897454393939286,0.7352791323779078,1.0,0.9933222321120571,0.9966611160560286,0.8093420519199402,5
random_forest_Mitigated,mitigated,extended,1.0,0.05,12.0,0.8599651960282526,0.7292060491493384,0.6599657827202737,0.692860350246969,0.0,0.060939702645083776,0.17613953252547787,0.17613953252547787,0.7786926588152221,0.6378407030882169,0.8814603824147191,0.9099864800650386,0.8219870192369116,0.8659867496509751,0.7809177841313695,6
random_forest_Tuned,unmitigated,extended,0.5,0.17079687118530273,15.0,0.8674378134916573,0.7754886423666139,0.6278870829769033,0.6939257858662254,0.9180197480349297,0.16302408563782336,0.22494172494172499,0.22494172494172499,0.3392090395480226,0.8255005921126821,0.8060170947102259,1.0,0.28254985967318114,0.6412749298365905,0.7808620606964813,7
xgboost_Mitigated,mitigated,extended,1.0,0.05,12.0,0.8721465861398301,0.7756962025316456,0.6552609067579127,0.7104103872014839,0.0,0.045250793386248905,0.24867556685738512,0.24867556685738512,0.8163350150793427,0.6491964092303601,0.853036819878183,0.9099864800650386,0.8219870192369116,0.8659867496509751,0.7740906415736124,8
logistic_regression_Mitigated,mitigated,extended,1.0,0.05,12.0,0.8421537516634251,0.7462871287128713,0.5158254918733961,0.6100151745068285,0.0,0.034804102186195035,0.1748251748251748,0.1748251748251748,0.8152705345501956,0.6040814281837611,0.895185361494315,0.9099864800650386,0.8219870192369116,0.8659867496509751,0.7729040658014255,9
RandomForest_Baseline,unmitigated,baseline,5.956597328186035,0.2340686321258545,48.349453926086426,0.8552564233800799,0.7328629032258065,0.6218990590248076,0.6728366496992133,0.9026005316778636,0.13904995539696702,0.09927950837041744,0.09927950837041744,0.3873741095553918,0.8099993129353766,0.8808352681163077,0.017664935244537716,0.0,0.008832467622268858,0.6781003259451276,10
RandomForest_Extended,unmitigated,extended,6.054721117019653,0.2336728572845459,48.34727954864502,0.8552564233800799,0.7328629032258065,0.6218990590248076,0.6728366496992133,0.9026005316778636,0.13904995539696702,0.09927950837041744,0.09927950837041744,0.3873741095553918,0.8099993129353766,0.8808352681163077,0.0,0.0017673939244237102,0.0008836969622118551,0.6765105718131161,11
